P_ID,Type,Block,Date,Height_cm,L_0%,L_1-5%,L_5-25%,L_26-50%,L_51-75%,L_76-99%,L_100%,Herbivory,Leaves_N,Mortality
1,JA,1,7/26/22,53.34,8,11,2,1,0,7,0,29,29,
2,C,1,7/26/22,48.26,6,11,0,1,5,0,0,21,23,
3,SA,1,7/26/22,38.1,6,7,2,1,3,0,0,19,19,
4,SA,2,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
5,JA,2,7/26/22,40.64,3,8,0,7,0,0,0,22,18,
6,C,2,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
7,JA,3,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
8,C,3,7/26/22,45.72,4,11,0,6,0,0,0,17,21,
9,SA,3,7/26/22,53.34,4,20,0,2,1,2,1,19,30,
10,JA,4,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
11,C,4,7/26/22,38.1,3,3,10,0,0,0,0,17,16,
12,SA,4,7/26/22,33.02,4,7,0,5,0,0,0,18,16,
13,JA,5,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
14,SA,5,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
15,C,5,7/26/22,35,3,0,6,0,8,0,0,44,17,
16,SA,6,7/26/22,0,1,0,6,1,0,0,0,25,8,
17,C,6,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
18,JA,6,7/26/22,43,5,0,6,7,0,0,0,28,18,
19,JA,7,7/26/22,44,5,10,1,5,2,0,0,21,23,
20,SA,7,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
21,C,7,7/26/22,54,6,20,4,1,0,0,0,8,31,
22,C,8,7/26/22,36,4,16,0,0,0,0,0,4,20,
23,SA,8,7/26/22,38,1,0,0,0,1,16,0,92,18,
24,JA,8,7/26/22,50,8,16,5,0,0,0,0,7,29,
25,JA,9,7/26/22,53,4,18,0,2,0,0,0,8,24,
26,SA,9,7/26/22,48,7,16,0,0,0,0,0,3,23,
27,C,9,7/26/22,54,0,5,0,0,10,2,0,57,17,
28,SA,10,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
29,C,10,7/26/22,26,3,10,0,0,0,0,0,4,13,
30,JA,10,7/26/22,47,7,29,0,0,0,0,0,4,36,
31,SA,11,7/26/22,38,4,9,4,5,1,0,0,20,23,
32,JA,11,7/26/22,47.5,4,6,9,4,1,0,0,22,24,
33,C,11,7/26/22,40,3,15,3,2,2,0,0,16,25,
34,C,12,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
35,SA,12,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
36,JA,12,7/26/22,52,3,14,4,2,1,0,1,18,25,
37,SA,13,7/26/22,41,0,10,3,7,1,0,0,26,21,
38,C,13,7/26/22,42,2,12,6,1,0,3,0,23,24,
39,JA,13,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
40,JA,14,7/26/22,51,2,14,8,1,1,0,0,15,26,
41,C,14,7/26/22,50,1,6,6,4,0,3,0,34,20,
42,SA,14,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
43,C,15,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
44,SA,15,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
45,JA,15,7/26/22,40,1,11,6,0,0,0,0,11,18,
46,C,16,7/26/22,43,0,7,11,2,4,1,0,32,25,
47,JA,16,7/26/22,59,0,9,5,3,1,1,0,26,19,
48,SA,16,7/26/22,44,0,15,3,3,0,0,0,14,21,
49,C,17,7/26/22,54,0,1,20,4,2,0,0,32,27,
50,SA,17,7/26/22,40,0,0,2,10,2,2,0,56,16,
51,JA,17,7/26/22,52,0,14,5,6,0,0,0,20,25,
52,C,18,7/26/22,40,2,4,12,1,1,0,0,22,20,
53,SA,18,7/26/22,44,0,15,8,0,1,0,0,15,24,
54,JA,18,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
55,JA,19,7/26/22,48,8,15,3,2,2,0,0,13,30,
56,C,19,7/26/22,50,0,6,15,5,0,0,0,25,26,
57,SA,19,7/26/22,51.5,0,10,9,1,1,1,0,23,22,
58,JA,20,7/26/22,57,0,15,6,2,1,0,0,17,24,
59,C,20,7/26/22,50,0,10,8,0,0,0,0,14,18,
60,SA,20,7/26/22,49,0,9,12,2,0,0,0,19,23,
1,JA,1,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
2,C,1,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
3,SA,1,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
4,SA,2,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
5,JA,2,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
6,C,2,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
7,JA,3,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
8,C,3,8/2/22,41,0,5,1,1,1,0,0,22,8,
9,SA,3,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
10,JA,4,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
11,C,4,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
12,SA,4,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
13,JA,5,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
14,SA,5,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
15,C,5,8/2/22,29,5,0,2,1,1,0,0,19,9,
16,SA,6,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
17,C,6,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
18,JA,6,8/2/22,43,6,4,1,0,0,0,0,4,11,
19,JA,7,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
20,SA,7,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
21,C,7,8/2/22,47,6,5,0,0,0,0,0,2,11,
22,C,8,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
23,SA,8,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
24,JA,8,8/2/22,53,6,5,0,0,0,0,0,2,11,
25,JA,9,8/2/22,52,12,4,0,0,0,0,0,1,16,
26,SA,9,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
27,C,9,8/2/22,42,0,0,12,0,0,0,0,25,12,
28,SA,10,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
29,C,10,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
30,JA,10,8/2/22,45,4,11,1,0,0,0,0,5,16,
31,SA,11,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
32,JA,11,8/2/22,47,0,3,2,1,0,0,0,19,6,
33,C,11,8/2/22,48,0,3,0,0,1,0,0,23,4,
34,C,12,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
35,SA,12,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
36,JA,12,8/2/22,47,0,5,0,0,0,0,0,5,5,
37,SA,13,8/2/22,43,0,4,1,0,0,0,0,9,5,
38,C,13,8/2/22,36,3,3,0,0,0,0,0,3,6,
39,JA,13,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
40,JA,14,8/2/22,42,1,2,0,0,0,0,0,3,3,
41,C,14,8/2/22,45,1,2,1,0,0,0,0,9,4,
42,SA,14,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
43,C,15,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
44,SA,15,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
45,JA,15,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
46,C,16,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
47,JA,16,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
48,SA,16,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
49,C,17,8/2/22,51,3,1,0,0,0,0,0,1,4,
50,SA,17,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
51,JA,17,8/2/22,34,3,2,0,0,0,0,0,2,5,
52,C,18,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
53,SA,18,8/2/22,39,3,1,0,0,0,0,0,1,4,
54,JA,18,8/2/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
55,JA,19,8/2/22,53,3,2,2,0,0,0,0,9,7,
56,C,19,8/2/22,53,2,1,1,0,0,0,0,8,4,
57,SA,19,8/2/22,40,2,2,1,0,0,0,0,7,5,
58,JA,20,8/2/22,51,0,0,0,1,0,0,0,50,1,
59,C,20,8/2/22,23,3,2,2,0,0,0,0,9,7,
60,SA,20,8/2/22,45,1,3,1,0,0,0,0,8,5,